index,value
1999-03-31,-3.525824310006718
1999-04-30,-12.602513920008354
1999-05-31,-8.74487250995679
1999-06-30,-10.536169759974323
1999-07-31,-7.986531950058494
1999-08-31,-8.612009539976484
1999-09-30,-6.152623150060592
1999-10-31,-4.788981969983514
1999-11-30,-2.4736655500704776
1999-12-31,-0.1040032899342655
2000-01-31,3.741371809993753
2000-02-29,3.741371810001869
2000-03-31,4.299553280010377
2000-04-30,9.892171139946537
2000-05-31,7.274402610047498
2000-06-30,8.344949830013602
2000-07-31,5.762425489985496
2000-08-31,6.515191690065096
2000-09-30,5.58450060003859
2000-10-31,5.422368180029436
2000-11-30,6.56726849999618
2000-12-31,8.138535309994259
2001-01-31,7.761417249936571
2001-02-28,7.761417250023806
2001-03-31,12.49627304996605
2001-04-30,11.82855844007153
2001-05-31,11.356392049990452
2001-06-30,10.64158736996545
2001-07-31,11.765176019980165
2001-08-31,10.252596740017617
2001-09-30,8.971039979981969
2001-10-31,9.052950710027366
2001-11-30,6.635977260033096
2001-12-31,5.957532369995736
2002-01-31,-1.2679717799855266
2002-02-28,-1.2679717800106811
2002-03-31,-1.0446064699352564
2002-04-30,-1.4317362999983712
2002-05-31,-4.267326470026236
2002-06-30,0.1552757600524036
2002-07-31,1.3292375100070373
2002-08-31,2.3762125800465013
2002-09-30,6.557530670012507
2002-10-31,6.085613999993684
2002-11-30,5.700381020015019
2002-12-31,2.982671280015155
2003-01-31,3.4254509800145825
2003-02-28,3.4254509800026054
2003-03-31,7.570609649983166
2003-04-30,7.953310130050979
2003-05-31,8.838006780027959
2003-06-30,5.858287929902873
2003-07-31,4.003130950004784
2003-08-31,4.6368553000118835
2003-09-30,3.9044661100658056
2003-10-31,5.146661549953174
2003-11-30,4.622936370039038
2003-12-31,3.8570319200845424
2004-01-31,4.647702140028788
2004-02-29,4.647702140068232
2004-03-31,6.464766620025972
2004-04-30,6.022588760017258
2004-05-31,8.307713550058446
2004-06-30,9.76363250002041
2004-07-31,10.09200576992265
2004-08-31,11.171376510042188
2004-09-30,10.910240649890724
2004-10-31,10.14129255000851
2004-11-30,11.521605149965426
2004-12-31,15.233776109972496
2005-01-31,19.46689938001637
2005-02-28,19.466899380021562
2005-03-31,13.692236890040702
2005-04-30,12.908848160025396
2005-05-31,11.181636059958102
2005-06-30,11.901566219961497
2005-07-31,10.931181790053705
2005-08-31,18.681636630011127
2005-09-30,18.585192520106325
2005-10-31,19.312635210031047
2005-11-30,20.415974630102408
2005-12-31,18.087100760018274
2006-01-31,8.33790993001248
2006-02-28,8.337909929965477
2006-03-31,8.742974880021833
2006-04-30,13.499741810019454
2006-05-31,16.094800869988088
2006-06-30,14.780518260057333
2006-07-31,15.995572000049826
2006-08-31,6.957305540054366
2006-09-30,5.1868275599305385
2006-10-31,4.483195669989403
2006-11-30,4.503336140003699
2006-12-31,4.082364279912316
2007-01-31,20.467737220048722
2007-02-28,20.4677372200311
2007-03-31,14.979082390001743
2007-04-30,12.6601221101188
2007-05-31,11.049036030107915
2007-06-30,11.687198039952177
2007-07-31,13.45140757000744
2007-08-31,14.824216819926331
2007-09-30,16.432858140108113
2007-10-31,17.643421869908497
2007-11-30,16.494946840046183
2007-12-31,17.00143899008436
2008-01-31,2.976421950063117
2008-02-29,2.976421949971436
2008-03-31,5.469897069932211
2008-04-30,5.833651759917373
2008-05-31,6.529592749957665
2008-06-30,6.147925050000087
2008-07-31,4.622573420020466
2008-08-31,2.5585474600398483
2008-09-30,-0.3318693900521189
2008-10-31,-1.4084506999494042
2008-11-30,-2.1946060300452968
2008-12-31,-0.2728513000168911
2009-01-31,11.884205179927473
2009-02-28,11.884205179989651
2009-03-31,14.681365960044001
2009-04-30,16.863587540055573
2009-05-31,17.56935270994266
2009-06-30,17.771322950025663
2009-07-31,19.139387539929576
2009-08-31,20.879703230087408
2009-09-30,21.83041723000987
2009-10-31,22.749326150114708
2009-11-30,24.006488240075583
2009-12-31,22.407660740052464
2010-01-31,25.011348159958022
2010-02-28,25.011348160008605
2010-03-31,15.638921450009962
2010-04-30,16.268382350032514
2010-05-31,11.438202250030352
2010-06-30,6.726457400036569
2010-07-31,4.276534459911747
2010-08-31,3.2661113500494596
2010-09-30,5.037560759995028
2010-10-31,5.643390429932545
2010-11-30,5.035971220009037
2010-12-31,5.587840859922106
2011-01-31,11.474219320049698
2011-02-28,11.474219319939465
2011-03-31,10.117599350017867
2011-04-30,4.861660080058997
2011-05-31,6.936882440088282
2011-06-30,9.033613450031389
2011-07-31,10.199745010034972
2011-08-31,10.040331139978358
2011-09-30,8.119478330005972
2011-10-31,6.651423819995847
2011-11-30,5.770029059997773
2011-12-31,6.075359860072222
2012-01-31,-10.390879480039766
2012-02-29,-10.39087947995874
2012-03-31,-2.3568403600296506
2012-04-30,1.639653220008673
2012-05-31,3.375447859937137
2012-06-30,5.33718690003938
2012-07-31,6.826070190041099
2012-08-31,7.38811728010155
2012-09-30,7.957198439994667
2012-10-31,7.951666340012484
2012-11-30,7.829670330007586
2012-12-31,8.361604470016559
2013-01-31,20.665212649946906
2013-02-28,20.665212649925003
2013-03-31,19.668112390074835
2013-04-30,17.059150749973234
2013-05-31,13.973002550062143
2013-06-30,11.980976770018001
2013-07-31,10.054151619975535
2013-08-31,9.14316507999722
2013-09-30,8.54207965002021
2013-10-31,8.431124750038052
2013-11-30,8.025477710046411
2013-12-31,7.734806629978592
2014-01-31,-3.8560024099821937
2014-02-28,-3.8560024099723678
2014-03-31,-2.095808380131597
2014-04-30,-1.409789319984043
